Model,Complexity_Type,Complexity_Level,Ground_Truth_Events,Extracted_Events,Correctly_Extracted,Precision,Recall,F1,Hallucinated_Events
claude-3-5-haiku-20241022,nodes_complexity,Medium,725,658,595,0.9042553191489362,0.8206896551724138,0.8604483007953723,63
claude-3-5-haiku-20241022,nodes_complexity,High,1048,698,512,0.7335243553008596,0.48854961832061067,0.5864833906071019,186
claude-3-5-haiku-20241022,nodes_complexity,Low,810,762,705,0.9251968503937008,0.8703703703703703,0.8969465648854963,57
